自治体コード,NO,市営,都道府県名,市区町村名,名称,住所,緯度,経度,緯度経度,自転車定期,原動機付自転車定期,自動二輪定期,自転車一時利用,原動機付自転車一時利用,自動二輪一時利用,レンタサイクル,説明,備考
122173,1,1,千葉県,柏市,柏市市営駐車場,柏市中央町1-1,35.8593775,139.9723026,"35.8593775, 139.9723026",0,0,0,0,0,0,0,■収容台数：270台　■利用種別：時間貸し・定期駐車　■柏駅周辺の店舗と特約店契約をしています。,長さ5．6メートル以下、幅2メートル以下、高さ2．1メートル以下の普通自動車並びに小型自動車及び軽自動車（側車付二輪自動車以外の二輪自動車を除く。）
122173,2,1,千葉県,柏市,柏駅東口第一駐輪場,柏市中央町866番1他,35.8601079,139.9696418,"35.8601079, 139.9696418",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,3,1,千葉県,柏市,柏駅東口第二駐輪場,柏市柏一丁目112番,35.8632438,139.9721228,"35.8632438, 139.9721228",1,0,0,1,0,0,1,◆定期利用（自）　◆一時利用（自）　◆レンタサイクル,
122173,4,1,千葉県,柏市,柏駅東口第三駐輪場,柏市泉町766番276,35.8587917,139.9686735,"35.8587917, 139.9686735",1,1,0,1,0,0,0,◆定期利用（自・原）　◆一時利用（自）,
122173,5,1,千葉県,柏市,柏駅東口第四駐輪場,柏市柏五丁目77番13,35.8659244,139.9743415,"35.8659244, 139.9743415",1,1,0,0,0,0,0,◆定期利用（自・原）,
122173,6,1,千葉県,柏市,柏駅東口第五駐輪場,柏市柏五丁目68番26他,35.8647931,139.9732197,"35.8647931, 139.9732197",1,0,0,0,0,0,0,◆定期利用（自）,
122173,7,1,千葉県,柏市,柏駅東口第六駐輪場,柏市泉町766番283,35.8585699,139.9684294,"35.8585699, 139.9684294",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,8,1,千葉県,柏市,柏駅西口第一駐輪場,柏市旭町一丁目14番24,35.8623002,139.967916,"35.8623002, 139.967916",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,9,1,千葉県,柏市,柏駅西口第二駐輪場,柏市あけぼの一丁目226番17,35.8593775,139.9723026,"35.8593775, 139.9723026",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,10,1,千葉県,柏市,柏駅西口第四駐輪場,柏市あけぼの一丁目81番3,35.8660831,139.973835,"35.8660831, 139.973835",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,11,1,千葉県,柏市,柏駅西口第五駐輪場,柏市旭町一丁目829番66,35.8609204,139.9686063,"35.8609204, 139.9686063",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,12,1,千葉県,柏市,柏駅西口第六駐輪場,柏市末広町60番3,35.864427,139.9719644,"35.864427, 139.9719644",1,1,0,1,0,0,0,◆定期利用（自・原）　◆一時利用（自）,
122173,13,1,千葉県,柏市,柏駅西口第七駐輪場,柏市旭町一丁目15番1,35.8618979,139.9676189,"35.8618979, 139.9676189",1,1,0,1,1,0,0,◆定期利用（自・原）　◆一時利用（自・原）,
122173,14,1,千葉県,柏市,柏駅西口第八駐輪場,柏市末広町67番9,35.86489,139.972482,"35.86489, 139.972482",1,0,0,0,0,0,0,◆定期利用（自）,
122173,15,1,千葉県,柏市,南柏駅東口第一駐輪場,柏市南柏中央4番4,35.842761,139.954002,"35.842761, 139.954002",1,1,0,1,1,0,0,◆定期利用（自・原）　◆一時利用（自・原）,
122173,16,1,千葉県,柏市,南柏駅東口第二駐輪場,柏市豊四季511番46,35.8463668,139.9574491,"35.8463668, 139.9574491",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,17,1,千葉県,柏市,北柏駅南口第一駐輪場,柏市根戸1880番5,35.8753693,139.9895168,"35.8753693, 139.9895168",1,1,0,0,0,0,0,◆定期利用（自・原）,
122173,18,1,千葉県,柏市,北柏駅南口第二駐輪場,柏市根戸1588番6,35.8749628,139.9913649,"35.8749628, 139.9913649",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,19,1,千葉県,柏市,北柏駅南口第三駐輪場,柏市北柏一丁目15番,35.8756108,139.9870688,"35.8756108, 139.9870688",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,20,1,千葉県,柏市,北柏駅北口第一駐輪場,柏市根戸294番,35.8782099,139.9886853,"35.8782099, 139.9886853",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,21,1,千葉県,柏市,北柏駅北口第二駐輪場,柏市根戸2009番3,35.8759821,139.9870814,"35.8759821, 139.9870814",1,0,0,0,0,0,0,◆定期利用（自）,
122173,22,1,千葉県,柏市,豊四季駅北口第一駐輪場,柏市豊四季154番16,35.8676883,139.9387059,"35.8676883, 139.9387059",1,1,1,1,1,1,0,◆定期利用（自・原・自二）　◆一時利用（自・原・自二）,
122173,23,1,千葉県,柏市,豊四季駅南口第一駐輪場,柏市豊四季1005番5,35.8653776,139.940832,"35.8653776, 139.940832",1,1,1,1,0,0,0,◆定期利用（自・原・自二）　◆一時利用（自）,
122173,24,1,千葉県,柏市,新柏駅東口第一駐輪場,柏市新柏一丁目12番5,35.8386709,139.9688226,"35.8386709, 139.9688226",1,1,0,1,1,0,0,◆定期利用（自・原）　◆一時利用（自・原）,
122173,25,1,千葉県,柏市,新柏駅西口第一駐輪場,柏市豊住三丁目155番1,35.8632438,139.9656386,"35.8632438, 139.9656386",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,26,1,千葉県,柏市,新柏駅西口第二駐輪場,柏市つくしが丘四丁目1810番256,35.8362587,139.9673133,"35.8362587, 139.9673133",1,1,0,1,0,0,0,◆定期利用（自・原）　◆一時利用（自）,
122173,27,1,千葉県,柏市,増尾駅東口第一駐輪場,柏市増尾一丁目1859番3,35.8272614,139.9798445,"35.8272614, 139.9798445",1,1,0,1,1,0,0,◆定期利用（自・原）　◆一時利用（自・原）,
122173,28,1,千葉県,柏市,増尾駅東口第二駐輪場,柏市増尾一丁目1860番20,35.8301549,139.9774595,"35.8301549, 139.9774595",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,29,1,千葉県,柏市,増尾駅西口第一駐輪場,柏市加賀三丁目1942番11,35.8294104,139.9765291,"35.8294104, 139.9765291",1,0,0,1,0,0,0,◆定期利用（自）　◆一時利用（自）,
122173,30,1,千葉県,柏市,増尾駅西口第二駐輪場,柏市加賀3丁目1859-1,35.829725,139.976219,"35.829725, 139.976219",1,1,0,1,1,0,0,◆定期利用（自・原） ◆一時利用（自・原）,
122173,31,1,千葉県,柏市,逆井駅東口第一駐輪場,柏市逆井藤ノ台31番1,35.823413,139.98516,"35.823413, 139.98516",1,1,0,1,0,0,0,◆定期利用（自・原） ◆一時利用（自）,
122173,32,1,千葉県,柏市,逆井駅西口第一駐輪場,柏市逆井二丁目14番26,35.8234558,139.9822223,"35.8234558, 139.9822223",1,1,0,1,0,0,0,◆定期利用（自・原） ◆一時利用（自）,
122173,33,1,千葉県,柏市,高柳駅東口第一駐輪場,柏市高柳1514番24,35.8079343,139.9991504,"35.8079343, 139.9991504",1,0,0,1,0,0,0,◆定期利用（自）　 ◆一時利用（自）,
122173,34,1,千葉県,柏市,高柳駅東口第二駐輪場,柏市高柳1476番3,35.8087587,139.9990861,"35.8087587, 139.9990861",1,0,0,1,0,0,0,◆定期利用（自）　 ◆一時利用（自）,
122173,35,1,千葉県,柏市,高柳駅東口第三駐輪場,柏市高柳1485番1,35.8097006,139.9988929,"35.8097006, 139.9988929",1,1,1,1,0,0,0,◆定期利用（自・原・自二）　◆一時利用（自）,
122173,36,1,千葉県,柏市,高柳駅東口第五駐輪場,柏市高柳1489番1,35.8587917,139.9993205,"35.8587917, 139.9993205",0,0,0,0,1,1,0,◆一時利用（自・原・自二）,
122173,37,1,千葉県,柏市,高柳駅西口第一駐輪場,柏市高柳一丁目2番4,35.809467,139.998444,"35.809467, 139.998444",1,0,0,1,0,0,0,◆定期利用（自）　 ◆一時利用（自）,
122173,38,1,千葉県,柏市,大津ヶ丘駐輪場,柏市大津ヶ丘四丁目1番13,35.8349494,139.9983743,"35.8349494, 139.9983743",1,1,0,1,0,0,0,◆定期利用（自・原） ◆一時利用（自）,
122173,39,1,千葉県,柏市,中ノ橋駐輪場,柏市大井101番,35.8461661,139.9942473,"35.8461661, 139.9942473",1,1,0,1,0,0,0,◆定期利用（自・原） ◆一時利用（自）,
