№,施設・場所名,所在地,電話,指定緊急避難場所_災害種別ごとの指定内容_洪水,指定緊急避難場所_災害種別ごとの指定内容_土砂災害,指定緊急避難場所_災害種別ごとの指定内容_高潮,指定緊急避難場所_災害種別ごとの指定内容_地震,指定緊急避難場所_災害種別ごとの指定内容_津波,指定緊急避難場所_災害種別ごとの指定内容_大規模な火事,指定緊急避難場所_災害種別ごとの指定内容_内水氾濫,指定緊急避難場所_災害種別ごとの指定内容_火山現象,避難所の指定,コミュニティエリア,避難所_延床面積(㎡),避難所_収容人数(人)(1人当たり4㎡),避難所_収容人数(人)(1人当たり2㎡),緊急避難場所_有効面積(㎡),緊急避難場所_収容人数(人)
1,柏市立田中北小学校,大青田１５３６番地の１,04-7131-4849,○,○,－,○,－,○,○,－,○,田中・柏の葉,772,135,270,10309,5154
2,柏市立十余二小学校,柏の葉四丁目４番地の１,04-7133-2555,○,○,－,○,－,○,○,－,○,田中・柏の葉,826,144,289,7362,3681
3,柏市立田中小学校,大室１１９３番地の３,04-7131-5719,○,○,－,○,－,○,○,－,○,田中・柏の葉,610,106,213,12339,6169
4,柏市立花野井小学校,花野井１６５２番地の３４,04-7133-8500,×,○,－,○,－,○,○,－,○,田中・柏の葉,875,153,306,7606,3803
5,柏市立田中中学校,大室２４９番地の９,04-7131-5725,○,○,－,○,－,○,○,－,○,田中・柏の葉,1118,195,391,15055,7527
6,柏市立柏高等学校,船戸山高野３２５番地の１,04-7132-3460,×,○,－,○,－,○,○,－,○,田中・柏の葉,2603,455,911,56837,28418
7,千葉県立柏の葉高等学校,柏の葉六丁目１番地,04-7132-7521,○,○,－,○,－,○,○,－,○,田中・柏の葉,2924,511,1023,21751,10875
8,中十余二第一公園,柏の葉一丁目１０番,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,3249,1624
9,中十余二第二公園,柏の葉二丁目１６番,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,3246,1623
10,柏ビレジ近隣公園,大室１３１１番地の６,－,×,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,20058,10029
11,北部緑地,船戸１８０５番地,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,9740,4870
12,柏市青少年センター,十余二３１３番地の９２,04-7131-5856,○,○,－,○,－,○,○,－,○,田中・柏の葉,1215,212,425,16700,8350
13,旧吉田家住宅歴史公園（芝生広場）,花野井９７４番地１,－,○,○,－,○,－,○,○,－,－,田中・柏の葉,－,－,－,4500,2250
