都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,病院名,住所,電話番号,URL（ホームページ）,診療科目,診療日・時間,休診日,アクセス,備考
122173,0000000001,千葉県,柏市,柏たなか病院,柏市小青田一丁目3番地2,04-7131-2000,http://www.aoikai.jp/kashiwatanaka/,内科，呼吸器内科，循環器科，糖尿病内科，内分泌内科，消化器内科，神経内科，外科，消化器外科，肛門外科，整形外科，神経外科，形成外科，小児科，皮膚科，泌尿器科，婦人科，眼科，耳鼻いんこう科，リハビリテーション科，放射線科，麻酔科,"○月〜金曜日 9：00〜（受付時間は8：00〜12：00）
※受付時間　神経内科は金・土曜日11：30まで，乳腺外来は土曜日11：30まで，泌尿器科は金・土曜日11：00まで，皮膚科は金曜日11：00まで　
○月〜金曜日14：00〜（受付時間は13：20〜16：30）
※耳鼻科のみ診療時間13：30〜　
○土曜日9：00〜（受付時間は8：00〜12：00）

※科によって診療時間が異なる場合があります。
※救急患者は24時間受付します。",日曜日，祝日，年末年始（12月31日〜1月3日）,"○電車　つくばエクスプレス「柏たなか駅」下車　徒歩約1分　
○常磐自動車道　柏インターより約15分",入院に関するご相談や疑問について，柏たなか病院「医療福祉相談室」のソーシャルワーカーがお答えいたします。お気軽にお問い合わせください。
122173,0000000002,千葉県,柏市,国立がん研究センター東病院,柏市柏の葉6-5-１,04-7133-1111(代表),http://www.ncc.go.jp/jp/ncce/index.html,形成外科，乳腺科，血液腫瘍科，呼吸器腫瘍科，消化管腫瘍科，肝胆膵腫瘍科，泌尿器科，麻酔科，集中治療科，緩和医療科，精神腫瘍科，放射線診断科，放射線治療科，病理科，臨床検査科 ,"月〜金曜日 8：30〜17：30
※紹介状が必要。",土曜日，日曜日，祝日,"○電車，バス
・ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」西口から，東武バス「国立がん研究センター」行き30分
・つくばエクスプレス「柏の葉キャンパス駅」西口から，東武バス(国立がん研究センター経由)「江戸川台駅東口」行き，または「柏の葉公園循環」行き6分　「国立がん研究センター」下車
・東武アーバンパークライン(野田線)「江戸川台駅」東口から、東武バス(国立がん研究センター経由)「 柏の葉キャンパス駅」西口行き10分「 国立がん研究センター」下車",相談窓口としてサポーティブケアセンター／がん相談支援センターを設置しています。がんに関する情報や治療や手術にかかる費用，退院後の暮らしなど医療ソーシャルワーカーが患者さんとご家族の課題解決のお手伝いをさせていただきます。
122173,0000000003,千葉県,柏市,辻仲病院柏の葉,柏市若柴178-2柏の葉キャンパス148街区6,04-7137-3737（代表）,https://www.tsujinaka.or.jp/,内科，消化器内科（IBD専門外来有），消化器外科，外科，大腸・肛門外科，骨盤臓器脱診療部門，婦人科，泌尿器科，漢方内科，乳腺外科，緩和ケア内科，麻酔科，ペインクリニック内科,"月〜土曜日 9：00〜12：00／13：00〜17：00
受付時間
（初診）平日 8：30〜11：00／12：45〜16：00，土曜日 8：30〜11：00／12：45〜15：30　
（再診）平日 8：30〜11：30／12：45〜16：30，土曜日 8：30〜11：30／12：45〜16：00
※曜日や診療科によって異なる場合があります。
※完全予約制となっている診療科もあります。
※救急患者は，２４時間受付します。",日曜日，祝日，年末年始,"○電車
つくばエクスプレス「柏の葉キャンパス駅]下車 徒歩3分。
○バス
ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」西口から東武バス『西柏02』または『西柏09』で「柏の葉キャンパス駅」下車徒歩3分
※ＪＲ柏駅と当院を往復する無料送迎車があります。
その他，東武アーバンパークライン(野田線)「江戸川台駅」発『北柏ライフタウン経由』もご利用ください。
○車
常磐自動車道　柏インターを降り，国道16号線を千葉方面へ，約5分。駐車場は病院より徒歩2分。",医療機関からの紹介の窓口となる連携部門（連携室），退院までを支援する医療相談部門（医療相談室）からなる地域連携室があります。
122173,0000000004,千葉県,柏市,初石病院,柏市西原7丁目6-1,"04-7152-2251（代表）
04-7153-7125（ＦＡＸ）",http://hakusuikai.or.jp/hatsuishi/,精神科，神経内科，老人内科,"予約制です。
9:15〜12:00（精神科，神経内科）
13:00〜16:00（精神科，神経内科，老人内科）","土曜日，日曜日，祝日
年末年始（12月28日〜1月3日）","○駐車場を完備しております。（また，初石駅より送迎バスを運行しております。）
・初石駅より送迎バスにて5分，徒歩で15分
○東武バス
・江戸川台駅より5分，初石病院前下車
・流山おおたかの森駅より15分，西原7丁目下車",外来受診につきまして，全て予約制です。事前にお問い合わせ下さい。
122173,0000000005,千葉県,柏市,柏市立柏病院,柏市布施1‐3,04-7134-2000(代表),http://www.kashiwacity-hp.or.jp/,内科，神経内科，呼吸器内科，消化器内科，肝臓内科，循環器内科，内分泌・代謝内科，外科，整形外科，泌尿器科，眼科，リハビリテーション科，放射線科，麻酔科，小児科,"○内科・外科・整形外科・眼科：月〜土曜日 8：30〜11：00 　
○泌尿器科：月〜金曜日 8：30〜11：00　
○小児科：月〜金曜日 8：30〜11：00／13：00〜15：30　土曜日 8：30〜11：00  
※救急患者は随時受付します。               ",日曜日，祝日，年末年始休日（12月29日〜1月3日）,"○電車，バス
・ＪＲ「柏駅」西口（5番のりば）または「北柏駅」北口バス停から市立柏病院経由の「柏市立高校」・「東急柏ビレジ」・「柏たなか駅」行きバスで「市立柏病院入口」下車、徒歩3分。
・つくばエクスプレス線「柏たなか駅」から市立柏病院経由の柏駅西口・北柏駅行きバスで「市立柏病院入口」下車、徒歩3分。","地域医療支援センターでは，診療所等との連携窓口として，ご紹介患者様の外来診療や手術・入院治療の手続きを行っております。また，在宅等での生活支援に向けての調整（退院調整を含む）を看護師・ソーシャルワーカーが担当させていただきます。
地域包括ケア病棟では，在宅療養の方の入院受入れや，家族等が休むための入院受入れをしております。"
122173,0000000006,千葉県,柏市,おおたかの森病院,柏市豊四季113,04-7141-1117（代表）,http://www.otakanomori-hp.com/,内科，神経内科，呼吸器科，消化器科，循環器科，アレルギー科，リウマチ科，小児科，外科，整形外科，脳神経外科，泌尿器科，肛門科，リハビリテーション科，眼科，麻酔科，皮フ科，心臓血管外科,"月〜土曜日 9：00〜12：00／14：00〜17：00　※土曜日は午前のみ　
受付時間　8：30〜11：50／13：00〜16：50
※救急・時間外は24時間受付",土曜日午後，日曜日，祝日（急患の方は24時間診療），年末年始（12月30日の午後—1月3日）,"○電車
・東武アーバンパークライン(野田線)・つくばエクスプレス「流山おおたかの森駅」より徒歩7分
・東武アーバンパークライン(野田線)「豊四季駅」より徒歩10分
※流山おおたかの森駅，豊四季駅より送迎バス有。詳しくはホームページをご確認下さい。　
○車
常磐自動車道　流山インターより10分",医療相談室があります。医療相談室では，入院中や退院後の心配事，悩み事，入院診療費に関すること，社会福祉制度のことなど専門の相談員（医療ソーシャルワーカー）が相談をお受けしております。
122173,0000000007,千葉県,柏市,岡田病院,柏市末広町2-10,04-7145-0121(代表),http://www.seihoukai-okada.or.jp/,内科，小児科，外科，整形外科，婦人科，泌尿器科，リハビリテーション科,"月〜水・金曜日 9：00〜12：00／13：30〜17：00
木曜日 9：00〜12：00
土曜日 9：00〜12：00／13：30〜15：00
※受付時間 8：30〜11：30／13：30〜16：50（土曜日は14：50まで）
※外科・整形外科の午後の診療は，手術等のため休診となる場合があります。
※婦人科は木曜日も休診となります。
※救急患者は２４時間受付します。",木曜日午後，日曜日，祝日，年末年始（１２月３１日午後—１月３日）,"○電車
ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」西口より徒歩2分",
122173,0000000008,千葉県,柏市,柏厚生総合病院,柏市篠籠田617,"04-7145-1111(代表)
04-7145-1130（地域連携課直通）",https://www.kashiwakousei.or.jp/,外科，内科，血液内科，整形外科，脳神経外科，心臓外科，呼吸器外科，泌尿器科，消化器科，呼吸器内科，循環器内科，腎臓内科，アレルギー科，リウマチ科，内視鏡内科，皮膚科，小児科，小児外科，消化器外科，内視鏡外科，眼科，耳鼻咽喉科，形成外科，血管外科，歯科口腔外科，リハビリテーション科,"月〜金曜日 9：00〜12：00／14：00〜17:00
土曜日 9：00〜12：00
※各科にて診療時間が異なりますので，お電話にてご確認ください。
※救急患者は，24時間受付します。",土曜日午後，日曜日，祝日,"○電車
ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」西口より徒歩約18分   　　
○巡回バス
ＪＲ「柏駅」西口，つくばエクスプレス線「流山おおたかの森駅」からの無料送迎バスがあります。詳しくはホームページをご確認ください。",地域連携課(医療相談室・連携室)があります。医療相談室は他院からの転院依頼や入院患者さんの退院支援を行っています。連携室は，診療所からの紹介患者さんへのスムーズな対応，逆紹介のご案内及び当院医療の広報活動も行っています。
122173,0000000009,千葉県,柏市,北柏リハビリ総合病院,柏市柏下265,04-7169-8000（代表）,https://tensenkai.or.jp/,内科，脳神経内科，循環器内科，腎臓内科，呼吸器内科，血液内科，消化器内科，リハビリテーション科，整形外科，精神科，眼科，脳神経外科，泌尿器科，歯科,"受付時間　8:30〜12:30（初診12:00まで）／13:30〜17:30（初診17:00まで）
整形外来は午後の受付は16:30（初診は16:00まで）",日曜日，祝日，年末年始,"○電車
常磐線「北柏駅」下車　徒歩8分（慈恵医大柏病院隣）
○お車
常磐自動車道「柏IC」　国道16号線を千葉・柏方面へ約8㎞　　",医療連携室・相談指導課で入院相談や退院に関するサポートをしています。
122173,0000000010,千葉県,柏市,東京慈恵会医科大学附属柏病院,柏市柏下163-1,04-7164-1111(代表),"http://www.jikei.ac.jp/hospital/kashiwa/
",内科（総合診療部，消化器・肝臓内科，脳神経内科，腎臓・高血圧内科，リウマチ・膠原病内科，循環器内科，糖尿病・代謝・内分泌内科，腫瘍・血液内科，呼吸器内科），精神神経科，小児科，皮膚科，外科（上部消化管外科，下部消化管外科，肝胆膵外科，呼吸器外科，乳腺・内分泌外科，血管外科，小児外科），整形外科，脳神経外科，形成外科，心臓外科，産婦人科，泌尿器科，眼科，耳鼻咽喉・頭頸部外科，リハビリテーション科，救急科，放射線部，中央検査部，輸血部，麻酔部，内視鏡部，病院病理部，感染制御部,"月〜土曜日　9：00〜12：00／13：00〜16：00　
受付時間は，8：00〜11：00　
※緊急の場合（時間外，深夜，休日）はこの限りではありません。",日曜日，祝日，年末年始（12月29日〜1月3日），大学の記念日（5月1日，10月第2土曜日）,"○電車，バス 
・ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」下車。東口3番バス停より慈恵医大柏病院行（所要時間約15分）
・ＪＲ常磐線「北柏駅」下車。南口バス停より慈恵医大柏病院行（所要時間約5分）
○タクシー
ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」東口よりタクシーで約１0分  ",患者さん，ご家族の在宅医療に関するご相談は，患者支援センター(看護師・ソーシャルワーカー・事務)でお受けしています。
