都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,病院名,住所,電話番号,URL（ホームページ）,診療科目,診療日・時間,休診日,アクセス,備考
122173,0000000001,千葉県,柏市,柏ビレジクリニック,柏市花野井1814-12,04-7133-1090,https://www.kv-clinic.com/,胃腸科，内科,"○外来診療　
月・水・金曜日 9：00〜12：00／15：30〜18：00　
火・土曜日 9：00〜12：00　
第2・4日曜日 9：00〜11：30
○往診・訪問診療
ほぼ毎日",木曜日，第1・3日曜日，祝日,ＪＲ「柏駅」よりバス10分,強化型在宅支援診療所　緩和ケア
122173,0000000002,千葉県,柏市,クリニック柏の葉,柏市柏の葉3-1-34,04-7132-8881,https://cl-kashiwanoha.jp/,内科，小児科，耳鼻科，緩和ケア内科,"月・火・水・金曜日 9：00〜12：00／14：00〜17：30　
土曜日 9：00〜12：00／13：00〜15：00",木曜日，日曜日，祝日,"○つくばエクスプレス線「柏の葉キャンパス駅」より徒歩15分
○JR「柏駅」西口よりバス「国立がんセンター」行きで15分「柏の葉公園住宅前」で下車　徒歩1分","気管カニューレの交換（小児から成人まで），ASVの管理
耳鼻咽喉科領域の頭頚部がんの緩和ケア"
122173,0000000003,千葉県,柏市,花野井クリニック,柏市大室1218-6,04-7137-3777,http://www.hananoi-clinic.com/,循環器科，消化器科，内科，小児科，リハビリテーション科,"○外来診療　
月・火・木・金曜日 9：00〜12：00／14：30〜18：00(各受付は15分前までで終了)
水・土曜日 9：00〜12：00(各受付は15分前までで終了)
○往診・訪問診療日については不定期　　
○水曜日は，院長が往診のため代診になります。",水曜日午後，土曜日午後，日曜日，祝日,ＪＲ「柏駅」西口もしくはＪＲ「北柏駅」，つくばエクスプレス「柏の葉キャンパス駅」東口より東武バス「花野井木戸」下車すぐ。,
122173,0000000004,千葉県,柏市,柏れんげクリニック,柏市大山台2-16,04-7138-6697,https://www.rencli.com/,内科，小児科,"○外来診療
要予約
○訪問診療　
月〜金曜日 9：00〜17：00",土曜日，日曜日，祝日,,
122173,0000000005,千葉県,柏市,北柏ファミリークリニック,柏市北柏5-3-3,04-7160-3773,http://www.seizan-kai.jp/,内科，小児科，糖尿病内科,"○外来診療　
月・水・土曜日 9：00〜12：00
○往診・訪問
月・水曜日 13：30〜17：00　　
火・金曜日 9：00〜12：30／13：30〜17：00",木曜日，土曜日午後，日曜日，祝日,JR「北柏駅」より徒歩7分　駐車場有り,訪問診療ご希望の方は，まずお電話ください。
122173,0000000006,千葉県,柏市,秀和会クリニック,柏市布施815-4 ,04-7140-8887,http://shuwakai-k.com/,内科,月〜土曜日 9：00〜17：30,日曜日，祝日,JR「北柏駅」→（バス）「前原」バス停→徒歩5分,予約承ります。
122173,0000000007,千葉県,柏市,のぞみの花クリニック,柏市北柏台3-16ベルハイム北柏台103号,04-7192-6180,http://www.nozominohana.com/,内科，外科,"在宅医療専門
○往診・訪問診療　
月〜金曜日 9：00〜18：00　
○緊急対応24時間可能",土曜日，日曜日，年末年始,ＪＲ「北柏駅」より徒歩5分,
122173,0000000008,千葉県,柏市,星野ファミリークリニック,柏市根戸467-103,04-7137-7322,https://hoshino-family.com/,内科,訪問は火曜日午後,木曜日，休日,ＪＲ「北柏駅」より徒歩15分,
122173,0000000009,千葉県,柏市,松葉町内科クリニック,柏市松葉町2-15-8よしいビル１Ｆ,04-7137-1710,https://www.matsubacho-cl.com/,内科，循環器内科，糖尿病内科,"○外来診療　
月・火・木・金曜日 9：00〜12：00／15：00〜18：00
土曜日 9：00〜13：00
○往診・訪問診療
月・火・木・金曜日 13：30〜15：00",水曜日，土曜日午後，日曜日，祝日,ＪＲ「北柏駅」より東武バス(北柏ライフタウン循環)「松葉町二丁目」下車目の前,
122173,0000000010,千葉県,柏市,かしわ在宅診療所,柏市旭町1-1-5浜島ビル8F,04-7186-7855,,内科（訪問診療），精神科(往診，週１回），皮膚科（往診，月１回)　,"○往診・訪問診療　
平日 9：00〜17：00",土曜日，日曜日，祝日,ＪＲ「柏駅」，東武アーバンパークライン(野田線)「柏駅」ともに西口より徒歩5分,平成29年12月1日に開院致しました。相手を思いやり，患者様に寄り添う診療に努めています。お気軽にお問い合わせ下さい。
122173,0000000011,千葉県,柏市,くわのクリニック,柏市豊四季台1-3-1,04-7189-7715,http://www.kuwano-clinic.com/,内科,"○外来診療　
9：00〜17：30（予約制）
○往診・訪問診療
月〜金曜日 9：00〜17：30",土曜日，日曜日,ＪＲ「柏駅」西口より東武バス(豊四季台団地循環)「集会所」下車徒歩1分,
122173,0000000012,千葉県,柏市,豊四季診療所,柏市豊四季台1-3-1,04-7145-7247,,内科，消化器科，小児科,"○外来診療
月・火・水・金曜日 9：00〜12：00／15：00〜18：00
土曜日 9：00〜12：00
○往診・訪問診療
12：00〜14：00",木曜日，土曜日午後，日曜日，祝日,ＪＲ「柏駅」西口より東武バス(豊四季台団地循環)「集会所」下車徒歩1分,
122173,0000000013,千葉県,柏市,古田医院,柏市明原3-8-21,04-7144-2331,http://www.furutaclinic.com/,内科，胃腸科，外科,"○外来診療　
月・水・金曜日　9：00〜12：00／15：00〜18：00　　
火・土曜日　9：00〜12：00
○往診・訪問診療　　
火曜日 15：00〜18：00",木曜日，土曜日午後，日曜日，祝日,ＪＲ「柏駅」西口より徒歩10分,
