no,name,address,state,city,ev_water_overflow,ev_landslide,ev_storm_surge,ev_earthquake,ev_tsunami,ev_fire,ev_rain_overflow,ev_eruption,life_shelter,evacuation_capacity,disaster_response_headquarters
1,柏市立田中北小学校,柏市大青田1536-1,千葉県,柏市,1,1,,1,,1,1,,1,5154,
2,柏市立西原小学校,柏市西原4-17-1,千葉県,柏市,1,1,,1,,1,1,,1,4837,
3,柏市立十余二小学校,柏市柏の葉4-4-1,千葉県,柏市,1,1,,1,,1,1,,1,3681,
4,柏市立田中小学校,柏市大室1193-3,千葉県,柏市,1,1,,1,,1,1,,1,6169,
5,柏市立花野井小学校,柏市花野井1652-34,千葉県,柏市,,1,,1,,1,1,,1,3803,
6,柏市立富勢西小学校,柏市布施84-2,千葉県,柏市,1,1,,1,,1,1,,1,4925,
7,柏市立富勢東小学校,柏市布施2176-2,千葉県,柏市,,1,,1,,1,1,,1,4590,
8,柏市立富勢小学校,柏市布施925-1,千葉県,柏市,1,1,,1,,1,1,,1,4833,
9,柏市立松葉第一小学校,柏市松葉町5-3,千葉県,柏市,1,1,,1,,1,1,,1,5937,
10,柏市立松葉第二小学校,柏市松葉町2-16,千葉県,柏市,1,1,,1,,1,1,,1,6063,
11,柏市立柏第一小学校,柏市あけぼの1-7-6,千葉県,柏市,1,1,,1,,1,1,,1,3051,
12,柏市立柏第二小学校,柏市豊四季310,千葉県,柏市,1,1,,1,,1,1,,1,2915,
13,柏市立柏第三小学校,柏市若葉町4-54,千葉県,柏市,1,1,,1,,1,1,,1,9780,
14,柏市立柏第四小学校,柏市松ヶ崎1182-9,千葉県,柏市,1,1,,1,,1,1,,1,5720,
15,柏市立柏第五小学校,柏市柏932-7,千葉県,柏市,1,1,,1,,1,1,,1,2832,
16,柏市立柏第六小学校,柏市豊四季台4-2-1,千葉県,柏市,1,1,,1,,1,1,,1,4930,
17,柏市立柏第七小学校,柏市篠籠田723-1,千葉県,柏市,1,1,,1,,1,1,,1,5058,
18,柏市立柏第八小学校,柏市永楽台2-8-1,千葉県,柏市,1,1,,1,,1,1,,1,4123,
19,柏市立高田小学校,柏市高田376-3,千葉県,柏市,1,1,,1,,1,1,,1,8631,
20,柏市立旭小学校,柏市旭町6-5-17,千葉県,柏市,1,1,,1,,1,1,,1,5955,
21,柏市立旭東小学校,柏市旭町5-3-9,千葉県,柏市,1,1,,1,,1,1,,1,2414,
22,柏市立豊小学校,柏市豊四季610-2,千葉県,柏市,1,1,,1,,1,1,,1,3983,
23,柏市立名戸ヶ谷小学校,柏市名戸ヶ谷474-1,千葉県,柏市,,1,,1,,1,1,,1,6744,
24,柏市立土小学校,柏市増尾4-4-1,千葉県,柏市,1,1,,1,,1,1,,1,2698,
25,柏市立光ヶ丘小学校,流山市向小金4-20-1,千葉県,柏市,1,1,,1,,1,1,,1,3533,
26,柏市立中原小学校,柏市中原1821-1,千葉県,柏市,1,1,,1,,1,1,,1,5032,
27,柏市立増尾西小学校,柏市増尾台3-5-9,千葉県,柏市,1,1,,1,,1,1,,1,3599,
28,柏市立藤心小学校,柏市藤心880-1,千葉県,柏市,1,1,,1,,1,1,,1,5109,
29,柏市立逆井小学校,柏市逆井452-2,千葉県,柏市,1,1,,1,,1,1,,1,5184,
30,柏市立酒井根小学校,柏市酒井根19-2,千葉県,柏市,1,1,,1,,1,1,,1,5881,
31,柏市立酒井根西小学校,柏市酒井根662-1,千葉県,柏市,1,1,,1,,1,1,,1,3712,
32,柏市立酒井根東小学校,柏市酒井根1-2-1,千葉県,柏市,1,1,,1,,1,1,,1,4051,
33,柏市立土南部小学校,柏市新逆井1-10-1,千葉県,柏市,1,1,,1,,1,1,,1,3620,
34,柏市立風早北部小学校,柏市大井1854-1,千葉県,柏市,1,1,,1,,1,1,,1,2569,
35,柏市立風早南部小学校,柏市藤ヶ谷新田111-2,千葉県,柏市,1,1,,1,,1,1,,1,4900,
36,柏市立大津ヶ丘第一小学校,柏市大津ヶ丘3-50,千葉県,柏市,1,1,,1,,1,1,,1,5366,
37,柏市立大津ヶ丘第二小学校,柏市大津ヶ丘4-8,千葉県,柏市,1,1,,1,,1,1,,1,5557,
38,柏市立手賀東小学校,柏市手賀479-7,千葉県,柏市,1,1,,1,,1,1,,1,3703,
39,柏市立手賀西小学校,柏市泉541,千葉県,柏市,1,1,,1,,1,1,,1,2326,
40,柏市立高柳小学校,柏市高南台3-14-12,千葉県,柏市,1,1,,1,,1,1,,1,3655,
41,柏市立高柳西小学校,柏市しいの木台3-2,千葉県,柏市,1,1,,1,,1,1,,1,5713,
42,柏市立西原中学校,柏市西原6-13-1,千葉県,柏市,1,1,,1,,1,1,,1,5733,
43,柏市立田中中学校,柏市大室249-9,千葉県,柏市,1,1,,1,,1,1,,1,7527,
44,柏市立松葉中学校,柏市松葉町3-14,千葉県,柏市,1,1,,1,,1,1,,1,5867,
45,柏市立富勢中学校,柏市根戸467-1,千葉県,柏市,1,1,,1,,1,1,,1,7555,
46,柏市立柏中学校,柏市明原4-1-1,千葉県,柏市,1,1,,1,,1,1,,1,12411,
47,柏市立柏第二中学校,柏市弥生町6-6,千葉県,柏市,1,1,,1,,1,1,,1,7806,
48,柏市立柏第三中学校,柏市篠籠田987-1,千葉県,柏市,1,1,,1,,1,1,,1,7039,
49,柏市立柏第四中学校,柏市名戸ヶ谷1-6-8,千葉県,柏市,1,1,,1,,1,1,,1,7362,
50,柏市立柏第五中学校,柏市高田919-1,千葉県,柏市,,1,,1,,1,1,,1,8674,
51,柏市立豊四季中学校,柏市豊四季287-7,千葉県,柏市,1,1,,1,,1,1,,1,5486,
52,柏市立土中学校,柏市増尾1-23-1,千葉県,柏市,1,1,,1,,1,1,,1,4067,
53,柏市立光ヶ丘中学校,柏市光ヶ丘4-23-1,千葉県,柏市,1,1,,1,,1,1,,1,6369,
54,柏市立逆井中学校,柏市逆井555,千葉県,柏市,1,1,,1,,1,1,,1,6398,
55,柏市立酒井根中学校,柏市酒井根1-3-1,千葉県,柏市,1,1,,1,,1,1,,1,7230,
56,柏市立南部中学校,柏市南増尾6-16-1,千葉県,柏市,1,1,,1,,1,1,,1,6596,
57,柏市立中原中学校,柏市中原1816-2,千葉県,柏市,1,1,,1,,1,1,,1,6594,
58,柏市立風早中学校,柏市塚崎1319,千葉県,柏市,1,1,,1,,1,1,,1,5595,
59,柏市立手賀中学校,柏市柳戸690,千葉県,柏市,1,1,,1,,1,1,,1,5186,
60,柏市立高柳中学校,柏市高南台1-1-1,千葉県,柏市,1,1,,1,,1,1,,1,6707,
61,柏市立大津ヶ丘中学校,柏市大津ヶ丘1-25,千葉県,柏市,1,1,,1,,1,1,,1,8247,
62,柏市立柏高等学校,柏市船戸山高野325-1,千葉県,柏市,,1,,1,,1,1,,1,28418,
63,流通経済大学付属柏高校,柏市十余二1-20,千葉県,柏市,1,1,,1,,1,1,,1,3500,
64,千葉県立柏の葉高等学校,柏市柏の葉6-1,千葉県,柏市,1,1,,1,,1,1,,1,10875,
65,千葉県立柏高等学校,柏市布施254,千葉県,柏市,,1,,1,,1,1,,1,12650,
66,千葉県立柏中央高等学校,柏市松ヶ崎884-1,千葉県,柏市,,1,,1,,1,1,,1,13467,
67,千葉県立東葛飾高等学校,柏市旭町3-2-1,千葉県,柏市,1,1,,1,,1,1,,1,11198,
68,日本体育大学柏高等学校,柏市戸張944,千葉県,柏市,1,1,,1,,1,1,,1,13228,
69,千葉県立柏南高等学校,柏市増尾1705,千葉県,柏市,1,1,,1,,1,1,,1,12221,
70,芝浦工業大学柏中学高校,柏市増尾700,千葉県,柏市,,1,,1,,1,1,,,9341,
