番号,名称,所在地,所在地2,併設,備蓄倉庫,防災用簡易井戸,耐震性井戸付貯水,耐震性貯水槽,広域避難場所
1,柏市立柏高等学校,船戸山高野325-1,千葉県柏市船戸山高野325-1,,FALSE,FALSE,FALSE,FALSE,FALSE
2,田中北小学校,大青田1536-1,千葉県柏市大青田1536-1,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
3,十余二小学校,柏の葉4-4-1,千葉県柏市柏の葉4-4-1,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
4,田中小学校,大室1193-3,千葉県柏市大室1193-3,,FALSE,FALSE,FALSE,FALSE,FALSE
5,柏の葉小学校,十余二348-51 中央404街区1,千葉県柏市十余二348-51 中央404街区1,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
6,田中中学校,大室249-9,千葉県柏市大室249-9,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
7,柏市青少年センター,十余二313-92,千葉県柏市十余二313-92,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
8,県立柏の葉高等学校,柏の葉6-1,千葉県柏市柏の葉6-1,,FALSE,FALSE,FALSE,FALSE,FALSE
9,中十余二第一公園,柏の葉1-10,千葉県柏市柏の葉1-10,,FALSE,FALSE,FALSE,FALSE,FALSE
10,中十余二第二公園,柏の葉2-16,千葉県柏市柏の葉2-16,,FALSE,FALSE,FALSE,FALSE,FALSE
11,花野井小学校,花野井1652-34,千葉県柏市花野井1652-34,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
12,柏ビレジ近隣公園,大室1311-6,千葉県柏市大室1311-6,,FALSE,FALSE,FALSE,FALSE,FALSE
13,北部緑地,船戸1805,千葉県柏市船戸1805,,FALSE,FALSE,FALSE,FALSE,FALSE
14,旧吉田家住宅歴史公園（芝生広場）,花野井974-1,千葉県柏市花野井974-1,,FALSE,FALSE,FALSE,FALSE,FALSE
15,吉田記念テニス研修センター,花野井936-1,千葉県柏市花野井936-1,,FALSE,FALSE,FALSE,FALSE,FALSE
16,柏の葉中学校,十余二337-93 中央405街区1,千葉県柏市十余二337-93 中央405街区1,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
17,北部近隣センター,大青田1541-2,千葉県柏市大青田1541-2,,FALSE,FALSE,FALSE,FALSE,FALSE
18,柏たなか駅前公園,大室1-4,千葉県柏市大室1-4,,FALSE,FALSE,FALSE,FALSE,FALSE
19,柏寿荘,船戸山高野535,千葉県柏市船戸山高野535,,FALSE,FALSE,FALSE,FALSE,FALSE
20,西原小学校,西原4-17-1,千葉県柏市西原4-17-1,耐震性井戸付貯水装置,FALSE,FALSE,TRUE,FALSE,FALSE
21,西原中学校,西原6-13-1,千葉県柏市西原6-13-1,防災備蓄倉庫 防災用簡易井戸,TRUE,TRUE,FALSE,FALSE,FALSE
22,流通経済大学附属柏高等学校,十余二1-20,千葉県柏市十余二1-20,,FALSE,FALSE,FALSE,FALSE,FALSE
23,富勢西小学校,布施84-2,千葉県柏市布施84-2,防災備蓄倉庫（教室） 防災用簡易井戸,TRUE,TRUE,FALSE,FALSE,FALSE
24,県立柏高等学校,布施254,千葉県柏市布施254,,FALSE,FALSE,FALSE,FALSE,FALSE
25,あけぼの山公園,布施1940,千葉県柏市布施1940,,FALSE,FALSE,FALSE,FALSE,FALSE
26,富勢東小学校,布施2176-2,千葉県柏市布施2176-2,防災備蓄倉庫（教室）,TRUE,FALSE,FALSE,FALSE,FALSE
27,富勢中学校,根戸467-1,千葉県柏市根戸467-1,,FALSE,FALSE,FALSE,FALSE,FALSE
28,富勢小学校,布施925-1,千葉県柏市布施925-1,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
29,富勢運動場,根戸507,千葉県柏市根戸507,,FALSE,FALSE,FALSE,FALSE,FALSE
30,北柏第二公園,北柏3-9,千葉県柏市北柏3-9,,FALSE,FALSE,FALSE,FALSE,FALSE
31,布施第二公園,布施新町2-4,千葉県柏市布施新町2-4,,FALSE,FALSE,FALSE,FALSE,FALSE
