no,name,address,phone,area_flood,area_landslide,area_storm_surge,area_earthquake,area_tsunami,area_large_fire,area_inland_flooding,area_volcanic_activity,shelter_designation,community_area,shelter_total floor_area,shelter_capacity,shelter_capacity_2,site_effective,site_capacity,longitude,latitude
1,柏市立田中北小学校,千葉県柏市船戸一丁目7番1号,04-7131-4883,1,1,3,1,3,1,1,3,1,田中・柏の葉,1074,187,375,7695,3847,139.951627,35.913851
2,柏市立十余二小学校,千葉県柏市柏の葉四丁目4番地1,04-7133-2555,1,1,3,1,3,1,1,3,1,田中・柏の葉,826,144,289,7362,3681,139.93367,35.897629
3,柏市立田中小学校,千葉県柏市大室1193番地3,04-7131-5719,1,1,3,1,3,1,1,3,1,田中・柏の葉,610,106,213,12339,6169,139.963684,35.899609
4,柏市立花野井小学校,千葉県柏市花野井1652番地34,04-7133-8500,0,1,3,1,3,1,1,3,1,田中・柏の葉,875,153,306,7606,3803,139.971024,35.899097
5,柏市立田中中学校,千葉県柏市大室249番地9,04-7131-5725,1,1,3,1,3,1,1,3,1,田中・柏の葉,1118,195,391,15055,7527,139.957458,35.904213
6,柏市立柏高等学校,千葉県柏市船戸山高野325番地1,04-7132-3460,0,1,3,1,3,1,1,3,1,田中・柏の葉,2603,455,911,56837,28418,139.940598,35.924046
7,千葉県立柏の葉高等学校,千葉県柏市柏の葉六丁目1番地,04-7132-7521,1,1,3,1,3,1,1,3,1,田中・柏の葉,2924,511,1023,21751,10875,139.945633,35.891998
8,中十余二第一公園,千葉県柏市柏の葉一丁目10番,,1,1,3,1,3,1,1,3,3,田中・柏の葉,,,,3249,1624,139.942017,35.89106
9,中十余二第二公園,千葉県柏市柏の葉二丁目16番,,1,1,3,1,3,1,1,3,3,田中・柏の葉,,,,3246,1623,139.938736,35.89175
10,柏ビレジ近隣公園,千葉県柏市大室1311番地6,,0,1,3,1,3,1,1,3,3,田中・柏の葉,,,,20058,10029,139.963531,35.90287
11,北部緑地,千葉県柏市船戸1805番地,,1,1,3,1,3,1,1,3,3,田中・柏の葉,,,,9740,4870,139.947327,35.915936
12,柏市青少年センター,千葉県柏市十余二313番地92,04-7131-5856,1,1,3,1,3,1,1,3,1,田中・柏の葉,1215,212,425,16700,8350,139.955002,35.88448
